nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,0.00,Locaux
ASSOCIATION FAIS ET REVE,"1,100.00",
ASSOCIATION FAMILIALE LAIQUE BASTIDE,"3,000.00",
ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,"26,600.00",Locaux
ASSOCIATION FRANCAISE CONTRE LES MYOPATHIES - AFM,0.00,Communication
ASSOCIATION FRANCAISE DE L'ECLAIRAGE - CENTRE REGIONAL SUD-OUEST ATLANTIQUE,0.00,Matériel pour manifestations
ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,0.00,Locaux
ASSOCIATION FRANCAISE DES JURISTES D'ENTREPRISE - AFJE,0.00,Locaux
ASSOCIATION FRANCAISE DES MALADES DE LA THYROIDE,0.00,Locaux
ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE L'EQUILIBRE - AFBRE,0.00,Equipements sportifs
ASSOCIATION FRANCO-KURDE,0.00,Equipements sportifs
ASSOCIATION FRANCO-TCHEQUE D'AQUITAINE,0.00,Matériel pour manifestations
"ASSOCIATION FRANCO-VIETNAMIENNE, BORDEAUX-AQUITAINE","2,000.00",Locaux
ASSOCIATION FRANCOIS AUPETIT,0.00,Locaux
ASSOCIATION FRERES DES HOMMES,0.00,Locaux
ASSOCIATION GENERALE DES ENSEIGNANTS DES ECOLES ET CLASSES MATERNELLES PUBLIQUES,0.00,Locaux
ASSOCIATION GENERALE DES LOCATAIRES,0.00,Locaux
ASSOCIATION GENERATION DUPATY,"10,623.00",Equipements sportifs
ASSOCIATION GESTION CENTRES PSYCHANALYTIQUES DE CONSULTATIONS ET DE TRAITEMENT (CPCT) D'AQUITAINE,"3,000.00",Locaux
ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE PREVENTION SOCIALE - AGEP,"45,000.00",Locaux
ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT - LOISIRS (AGAP - SPORT - LOISIRS),0.00,Equipements sportifs
ASSOCIATION GIRONDINE DES INFIRMES MOTEURS CEREBRAUX - AGIMC,0.00,Locaux
ASSOCIATION GIRONDINE POUR L'AGRICULTURE PAYSANE (AGAP),0.00,Locaux
ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE BORDEAUX - IEGB,0.00,Locaux
ASSOCIATION HABILITEE DES JEUNES SAPEURS POMPIERS DE LA BENAUGE,"1,500.00",
ASSOCIATION HORIZON CAUDERAN,0.00,Matériel pour manifestations
ASSOCIATION INDEPENDANTE DE PARENTS D'ELEVES DU GROUPE SCOLAIRE FLORNOY,0.00,Locaux
"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE DEVELOPPEMENT ET LA PAIX (AICDP)",0.00,Locaux
ASSOCIATION JEUNESSE FUTSAL (AJF),0.00,Equipements sportifs
ASSOCIATION JUDAIQUE ST SEURIN,"4,400.00",
ASSOCIATION LA COCCINELLE,"180,000.00",
ASSOCIATION LABA-JOUR,"3,600.00",Matériel pour manifestations
ASSOCIATION LAIQUE DU PRADO (ALP),"55,000.00",Locaux
ASSOCIATION LE MERLE MOQUEUR,0.00,"Matériel pour manifestations, locaux"
ASSOCIATION LE VILLAGE BORDEAUX SUD,"1,600.00",Matériel pour manifestations
ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,0.00,Locaux
ASSOCIATION LES CREANTS,0.00,Locaux
ASSOCIATION LES Z ARPETES,"3,000.00",
ASSOCIATION LYCHORE,0.00,Locaux
ASSOCIATION LYONNAISE PREVOYANCE DES TRAVAILLEURS INDEPENDANTS DES ISOLES ET DES SALARIES - ALPTIS,0.00,Locaux
ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,"1,000.00",
ASSOCIATION MALINE,0.00,Locaux
ASSOCIATION MARIE DE LUZE,0.00,Locaux
ASSOCIATION MEMBRES DE LA LEGION D'HONNEUR DECORES AU PERIL DE LEUR VIE SECTION AQUITAINE OUEST,500.00,
ASSOCIATION MUSICALARUE,0.00,Matériel pour manifestations
ASSOCIATION MUSICALE ORCHESTRE JEAN-CLAUDE FRANCOIS,"1,700.00",
ASSOCIATION NATIONALE DES AMIS DE JEAN MOULIN,"1,500.00",Locaux
ASSOCIATION NATIONALE DES HOSPITALIERS RETRAITES,0.00,Locaux
ASSOCIATION NATIONALE DES JEUNES ENTREPRENEURS D AQUITAINE,"3,000.00",
ASSOCIATION NATIONALE DES PUERICULTRICES DIPLOMEES ET DES ETUDIANTES - ANPDE,0.00,Locaux
"ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE, DE FRANCE TELECOM ET DE LEURS FILIALES ANR",0.00,Locaux
ASSOCIATION NATIONALE DES VISITEURS DE PRISON - ANVP,300.00,
ASSOCIATION NATIONALE LE REFUGE,"3,000.00",Locaux
