nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
"GABON, SOLIDARITE ET PAIX",0,Locaux
GARGANTUA,0,Locaux
GASP'ART,0,Locaux
GAZELLISSIMES,0,Matériel pour manifestations
GEAR LOCKER,0,Locaux
"GEM ""LES NEUROFESTIFS 33""",0,Locaux
GIRONDE ROUMANIE ECHANGES ET CULTURE,0,Locaux
GIRONDINS DE BORDEAUX TIR,0,Matériel pour manifestations
GRAIN DE SABLE,0,Locaux
GRAINES DE SOLIDARITE,0,Matériel pour manifestations
GROUPE ATTAC 33,0,Locaux
GROUPE D'ETUDE POUR L'INSERTION SOCIALE DES PERSONNES PORTEUSES D'UNE TRISOMIE 21 - GEIST 21,0,Locaux
GROUPE LOCAL ACTION DES CHRETIENS POUR L'ABOLITION DE LA TORTURE DE BORDEAUX,0,Locaux
GROUPE PASSERELLE,0,"Communication, locaux"
GROUPE VOCAL ARPEGE DE BORDEAUX,0,"Locaux, matériel pour manifestations"
GROUPEMENT DES RETRAITES EDUCATEURS SANS FRONTIERES - GREF,0,Locaux
GYMNASTIQUE VOLONTAIRE BORDEAUX BASTIDE,0,Equipements sportifs
GYMNASTIQUE VOLONTAIRE BORDEAUX LOUCHEUR,0,Locaux
GYMNASTIQUE VOLONTAIRE CHAUFFOUR,0,Equipements sportifs
GYMNASTIQUE VOLONTAIRE LESCURE,0,Equipements sportifs
GYMNASTIQUE VOLONTAIRE PERGOLA STEHELIN,0,"Locaux, équipements sportifs"
GYMNASTIQUE VOLONTAIRE QUARTIER ST NICOLAS,0,Locaux
H NORD ECOQUARTIER DE BORDEAUX - H NORD,0,Locaux
HABAD LOUBAVITCH BORDEAUX,0,Matériel pour manifestations
HABITATS JEUNES SIMONE NOAILLES,0,Matériel pour manifestations
HAITI EN VIE,0,Locaux
HALEIWA,0,Equipements sportifs
HANDICAP INTERNATIONAL,0,Matériel pour manifestations
HANDISPORT 33 AMICALE SPORTIVE DES HANDICAPES PHYSIQUES D'AQUITAINE - ASHPA,0,Locaux
HARMONIE STRETCH ET DETENTE,0,Equipements sportifs
HISTOIRE(S) DE LA BASTIDE,0,Locaux
HORS BORD,0,Matériel pour manifestations
ICRONOS,0,"Locaux, matériel pour manifestations"
IDEH - INITIATIVES POUR LE DEVELOPPEMENT HUMAIN,0,Locaux
ILOT DES MOTS,0,Locaux
INNER WHEEL CLUB DE BORDEAUX MEDOC,0,Locaux
INSTANCE REGIONALE D'EDUCATION ET DE PROMOTION SANTE NOUVELLE-AQUITAINE (IREPS NOUVELLE-AQUITAINE),0,Locaux
INSTANTS BORDELAIS,0,Matériel pour manifestations
INSTITUT BERGONIE,0,"Equipements sportifs, matériel pour manifestations"
INSTITUT DE FORMATION ET D'APPUI AUX INITIATIVES DE DEVELOPPEMENT - IFAID AQUITAINE,0,Locaux
INSTITUT DE JOURNALISME BORDEAUX AQUITAINE,0,Equipements sportifs
INSTITUT MACONNIQUE D'AQUITAINE,0,Locaux
INSTITUT MEDICO-PEDAGOGIQUE SAINT JOSEPH,0,Equipements sportifs
INSTITUT REGIONAL DES SOURDS ET DES AVEUGLES - IRSA,0,Matériel pour manifestations
IRON SPORT BORDEAUX,0,Equipements sportifs
ITAL'ICI,0,Locaux
JARDIN ET ECOTOURISME,0,Locaux
JETER L'ENCRE,0,Locaux
JEUNE ACADEMIE VOCALE D'AQUITAINE,0,Locaux
JEUNE BALLET D AQUITAINE,0,"Locaux, matériel pour manifestations"
JUDO-CLUB GIRONDIN OMNISPORTS,0,Equipements sportifs
KALINA'GO,0,Locaux
KARAVAN BORDELAISE,0,Locaux
KAZ ANANDA,0,Locaux
KEEP A BREAST EUROPE FOUNDATION,0,Locaux
KI E KI,0,Locaux
KILOMBO KINTWADI,0,Locaux
KPOP DANCE MOVE BORDEAUX - KDM BORDEAUX,0,Locaux
KUNG-FU WUSHU ACADEMIE (KFWA),0,Equipements sportifs
L'AMICALE DES CHINOIS DU SUD-OUEST (ADCSO),0,"Locaux, matériel pour manifestations"
L'ASSOCIATION DES BISSAU-GUINEENS,0,Locaux
L'ASSOCIATION SLAVE,0,Matériel pour manifestations
L'ASSOS DIET,0,Locaux
L'ATELIER CHOREGRAPHIQUE,0,Locaux
L'ATELIER VIDEO PIRATE,0,Locaux
L'ATEUL,0,Matériel pour manifestations
L'AUTRE - ASSOCIATION DES ETUDIANTS EN ANTHROPOLOGIE SOCIALE ET CULTURELLE,0,Locaux
L'ERE H,0,Locaux
L'ESTEY,0,Locaux
L'INSTITUT BORDELAIS DE STYLISME MODELISME,0,Matériel pour manifestations
L'OLYMPIQUE-CLUB BORDELAIS - OCB,0,Equipements sportifs
L'ORANGEADE,0,Matériel pour manifestations
L'OSTAU OCCITAN,0,Matériel pour manifestations
LA CIGOGNE,0,Locaux
LA CLE DU QUAI,0,Locaux
"LA COMPAGNIE ""LES FOUS DE LA RAMPE""",0,Locaux
LA COMPAGNIE CHRONIQUE,0,Locaux
LA COMPAGNIE DES FIGURES,0,Locaux
LA COMPAGNIE GARONOTES,0,Locaux
LA COUR DES ENFANTS,0,Locaux
LA DAME A LA LICORNE,0,Locaux
LA GALERIE EPHEMERE,0,Locaux
LA GYM SUEDOISE BORDEAUX,0,Equipements sportifs
LA HOULETTE,0,Matériel pour manifestations
LA MAIN A L’OREILLE,0,Locaux
LA MAISON DE MARIE,0,Matériel pour manifestations
LA MANIF POUR TOUS 33,0,Locaux
LA MARMAILLE,0,Locaux
LA MOBYLETTE,0,Locaux
LA PARENTELE,0,Matériel pour manifestations
LA PLUME ET L'OREILLE,0,Locaux
LA ROUTE DES VINS - ECOLE DE COMMERCE EUROPEENNE,0,Equipements sportifs
LABE'ART,0,Matériel pour manifestations
LACLE - LA MAISON DES PARENTS ET DES MINEURS,0,Locaux
LADAPT LIGUE ADAPTATION DIMINUES PHYSIQUE AU TRAVAIL,0,Locaux
LADIES' CIRCLE BORDEAUX 20,0,Locaux
LAFEDERATION 33,0,Locaux
LATINO MEX BORDEAUX,0,Locaux
LAXMI GIRONDE,0,"Locaux, matériel pour manifestations"
LE CANNELE D'ADRESSES,0,Matériel pour manifestations
LE CHAINON MANQUANT,0,Matériel pour manifestations
LE CHOEUR VOYAGEUR,0,"Locaux, matériel pour manifestations"
LE LABO DES HISTOIRES section Sud-Atlantique,0,Locaux
LE LABO DES LETTRES,0,Locaux
LE LYS ET LE LEOPARD,0,Locaux
LE P'TIT BOUT DE QUARTIER,0,Matériel pour manifestations
LE PETIT INSTITUT DE CHINE : ECOLE D'ARTS MARTIAUX ET CULTURE CHINOISE,0,"Equipements sportifs, matériel pour manifestations"
LE RELAIS GIRONDE,0,Matériel pour manifestations
LE THEATRE DES EGREGORES,0,Locaux
LEGATO CIE,0,Locaux
LEO CLUB BORDEAUX INTERNATIONAL - LBI,0,Locaux
LES AMIS AQUITAINS DES SEMAINES SOCIALES DE France,0,Locaux
LES AMIS DE BORDEAUX-SUD,0,Locaux
LES AMIS DE LA RUE KLEBER,0,Locaux
LES AMIS DE LA TERRE GIRONDE,0,Locaux
LES ANCIENS DE BACALAN CLAVEAU,0,"Locaux, matériel pour manifestations"
LES ANNALES DE L'ESPRIT,0,Locaux
LES BORDELUCHES,0,Locaux
LES BRUITS DE LA RUE,0,Locaux
LES COQUELICOTS,0,Locaux
LES COUCOUS,0,Locaux
LES DOSSIERS D'AQUITAINE ET D'AILLEURS,0,Matériel pour manifestations
LES ENTREPRENEURS ET DIRIGEANTS CHRETIENS,0,Locaux
LES FEES REIKI,0,Locaux
LES FEES RUE,0,Matériel pour manifestations
LES FILLES D'A COTE,0,Locaux
LES GOUPILS,0,Locaux
LES HABITANTS ET RIVERAINS DU QUARTIER SAINT-GENES-BOURSE DU TRAVAIL - COSTEDOAT,0,Matériel pour manifestations
LES IMPROVISATEURS ANONYMES,0,Locaux
LES INDEPENDANTS PLASTICIENS DE BORDEAUX,0,Locaux
LES INSTRUMENTS ANCIENS DE BORDEAUX,0,Locaux
LES JOIES HUMAINES,0,Locaux
LES MORPHOGENISTES,0,Locaux
LES MUSCLES BORDELAIS,0,Equipements sportifs
LES PETITS TRETEAUX,0,Locaux
LES PINSONS,0,Locaux
LES PRODUCTIONS DE L'ANGE,0,Locaux
LES RIVERAINS DU STADE PROMIS,0,Locaux
LES ROSES DE DAMAS,0,Locaux
LES VAILLANTS DE SAINT SEURIN,0,Matériel pour manifestations
LES Z'ARPETES,0,Matériel pour manifestations
LESBIAN & GAY PRIDE BORDEAUX DITE AUSSI LGP BORDEAUX,0,Matériel pour manifestations
LIBRE PENSEE,0,Locaux
LICHORE,0,Locaux
LIGUE CONTRE LE CANCER,0,"Locaux, matériel pour manifestations"
LIGUE D'AQUITAINE DE HANDBALL,0,Matériel pour manifestations
LIGUE D'AQUITAINE DE VOLLEY BALL,0,Matériel pour manifestations
LIGUE FRANÇAISE POUR LA DEFENSE DROITS DE L'HOMME ET DU CITOYEN (LDH) ET LIGUE DROITS DE L'HOMME,0,Locaux
LIGUE NATIONAL DE RUGBY,0,Equipements sportifs
LIONS BORDEAUX SAINT AUGUSTIN,0,"Locaux, matériel pour manifestations"
LIONS CLUB BORDEAUX - EUROPE - DISTRICT 103 SUD-OUEST,0,"Locaux, matériel pour manifestations"
LIONS CLUB BORDEAUX LE BOUSCAT,0,Locaux
LIONS CLUB BORDEAUX RIVE-GAUCHE,0,Matériel pour manifestations
LIONS CLUB BORDEAUX TOURNY,0,"Locaux, matériel pour manifestations"
LIONS CLUB DE BORDEAUX LA FAYETTE,0,Matériel pour manifestations
LIONS-CLUB DE BORDEAUX CAUDERAN,0,Matériel pour manifestations
LOS TREINTA Y TRES,0,"Locaux, matériel pour manifestations"
LOUONS L'ETERNEL,0,Locaux
LUNA D'AIGA,0,Locaux
LUPUS DE FRANCE,0,Locaux
"L’ASSOCIATION POUR LE MAINTIEN DE L’AGRICULTURE PAYSANNE DITE ""L’AMAP CAUDERANAISE""",0,Locaux
MACCABI SPORTS DE BORDEAUX,0,"Equipements sportifs, matériel pour manifestations"
MADE IN MOVEMENT,0,Locaux
MAGNETOGRAMMES ASSOCIATION,0,Locaux
MAISON D'ALGERIE EN AQUITAINE,0,"Locaux, matériel pour manifestations"
MAISON DE LA NATURE ET DE L'ENVIRONNEMENT,0,Locaux
MAISON DES METIERS DE L'IMPRIMERIE,0,Locaux
MAISON DES SOURDS DE LA GIRONDE - MS 33,0,Locaux
MAJ,0,Locaux
MAM'OURS,0,Matériel pour manifestations
MANTA PLONGEE,0,Equipements sportifs
MARATHON JOB EUROPA,0,Matériel pour manifestations
"MAROC, DEVOIRS ET DROITS",0,Matériel pour manifestations
MAWA DE GIRONDE,0,Locaux
MBOLO ASSOCIATION DES GABONAIS DE LA GIRONDE,0,Locaux
MELTING SIGNES,0,Locaux
MENSA AQUITAINE,0,Locaux
MHIGE INSEEC - MISSION INTER GRANDES ECOLES DE L'INSEEC,0,Matériel pour manifestations
MINE DE RIEN,0,"Locaux, matériel pour manifestations"
MIRAIL INFORMATIQUE,0,Matériel pour manifestations
MOTO CLUB HEXAGON BORDEAUX,0,Locaux
MOTS ET MATIERES(S),0,Locaux
MOUVEMENT EUROPEEN FRANCE-GIRONDE,0,Locaux
MUSIC'S COOL,0,Locaux
MUSICA IN CATHEDRA,0,Locaux
MUSIQUE MUNICIPALE,0,Equipements sportifs
MUSIQUES EN ROUTE,0,Locaux
MY KARTEL,0,Matériel pour manifestations
NACAO PALMARES CAPOEIRA DE BORDEAUX,0,Equipements sportifs
NIRE LAGUNA THOMAS,0,Matériel pour manifestations
NOTRE DAME DE BARRAILS,0,Locaux
NOTRE ITALIE,0,Locaux
NOUS CITOYENS,0,Locaux
NOUS VOULONS LIRE !,0,Locaux
NOUVEAU COMITE FOIRE AUX PLAISIRS,0,Communication
NOUVELLE DONNE,0,Locaux
OCCS,0,Locaux
OCTANDRE,0,"Locaux, matériel pour manifestations"
OFFICE ARTISTIQUE DE REGION AQUITAINE,0,Matériel informatique
OFFICIERS DE RESERVE,0,Locaux
OKIWI,0,Locaux
ONG QUISHUAR,0,Locaux
OPERA BASTIDE,0,Locaux
OPUS 33,0,Locaux
ORGANISATION SOCIO-CULTURELLE DE BORDEAUX IV OSB IV,0,Matériel pour manifestations
OSEZ LE FEMINISME 33 !,0,Locaux
OUI A LA VIE,0,Locaux
PALLIAQUITAINE,0,Locaux
PARTI OUVRIER INDEPENDANT DEMOCRATIQUE DE LA GIRONDE - POID33,0,Locaux
PASSERELLES ET COMPETENCES,0,Locaux
PAUSE-CAFE,0,Locaux
PENA FLAMENCA COPAS Y COMPAS,0,Locaux
PENA MADRIDISTA DE BORDEAUX,0,Equipements sportifs
PERCEPTA - TAI CHI CHUAN ET DEVELOPPEMENT PERSONNEL,0,Equipements sportifs
PERES & FILS RUGBY 33,0,"Equipements sportifs, matériel pour manifestations"
PETANQUE BACALANAISE,0,"Locaux, matériel pour manifestations"
PETANQUE CLUB EMILE COMBES,0,Locaux
PEUPLES SOLIDAIRES,0,Locaux
PHENIX DE BELCIER,0,Locaux
PHOTO CLUB DE BORDEAUX,0,Locaux
PICTUR'ART,0,Locaux
PLAN INTERNATIONAL FRANCE - PLAN FRANCE,0,Locaux
PLANETE BORDEAUX,0,Matériel pour manifestations
PLATEFORME AQUITAINE DE COMMERCE EQUITABLE - PLACE,0,Matériel pour manifestations
PLENI'OM,0,Locaux
POINT RENCONTRE DE BORDEAUX,0,Locaux
POLIFONIA ELIANE LAVAIL,0,Locaux
POLSKIE BORDEAUX,0,Locaux
POLYCAP 33,0,Locaux
"POUR UN COMMERCE ETHIQUE DE L'ART, RENCONTRES, TOURISME - PUCEART",0,"Locaux, matériel pour manifestations"
POUR UN SOURIRE D'ENFANT AQUITAINE,0,Locaux
PRISME,0,Locaux
PROF'APA,0,Equipements sportifs
PROJETS HORS LES MURS - PHM,0,Matériel pour manifestations
PROMETHEE,0,Locaux
QUETZALCOATL,0,Locaux
RADIO CHU,0,Locaux
RASSEMBLEMENT DU PEUPLE SOUVERAIN POUR UNE FRANCE INDEPENDANTE ET UNE REPUBLIQUE SOCIALE,0,Locaux
REBATIR LA FRANCE,0,Locaux
REG'ARTS D'AILLEURS,0,Matériel pour manifestations
REGGAE SUN SKA,0,Matériel pour manifestations
RELAIS AMICAL MALAKOFF MEDERIC BORDEAUX AQUITAINE,0,"Locaux, matériel pour manifestations"
RESEAU AQUITAIN DES MUSIQUES ACTUELLES - RAMA,0,Locaux
RESEAU FRANCAIS SUR L’ENTENTE DE VOIX (REV FRANCE),0,Locaux
RESEAUX ADOS GIRONDE,0,Locaux
RIVE DROITE 2000,0,Matériel pour manifestations
ROLLER DERBY BORDEAUX CLUB,0,Locaux
ROSE ATTITUDE BORDEAUX,0,Equipements sportifs
ROTARY CLUB DE BORDEAUX-OUEST,0,Locaux
ROTARY-CLUB DE BORDEAUX-SUD,0,"Locaux, matériel pour manifestations"
SAAPERLIPOPETTE,0,"Locaux, matériel pour manifestations"
SAINT MARTIN BORDEAUX CULTURAL CONNECTIONS,0,Locaux
SALAM,0,Locaux
SASP FOOTBALL CLUB DES GIRONDINS DE BORDEAUX,0,Matériel pour manifestations
SCOUTS ET GUIDES DE FRANCE - Section de Tarbes,0,Locaux
SE CANTO BASTIDE,0,Locaux
SECOURS CATHOLIQUE-CARITAS FRANCE (DELEGATION DE LA GIRONDE),0,"Locaux, matériel pour manifestations"
SECUCAF BORDEAUX FOOTBALL D'ENTREPRISE,0,Equipements sportifs
SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DE LA GIRONDE,0,Matériel pour manifestations
SERVICE UNIVERSITAIRE DES ACTIVITES PHYSIQUES ET SPORTIVES (SUAPS),0,Equipements sportifs
SIDACTION,0,Communication
SOCIETE BORDELAISE D'AQUARELLE,0,Locaux
SOCIETE D'ENTRAIDE DES MEMBRES DE LA LEGION D'HONNEUR COMITE DE BORDEAUX SECTEUR CAUDERAN,0,Locaux
SOCIETE D'HISTOIRE DE BORDEAUX,0,Locaux
SOCIETE DE GEOGRAPHIE DE BORDEAUX,0,Locaux
SOCIETE DES AMIS DU MUSEE DES BEAUX-ARTS DE BORDEAUX,0,Locaux
SOCIETE DES BIBLIOPHILES DE GUYENNE,0,Locaux
SOCIETE DES COMPAGNONS DU TOUR DE France DU DEVOIR EGALITAIRE - CHAMBRE COMPAGNONALE DE BORDEAUX,0,Locaux
SOCIETE DES FETES CAUDERANAISES,0,Locaux
SOCIETE DES NEUROSCIENCES,0,Locaux
SOCIETE SYMPHONIQUE DE BORDEAUX-CAUDERAN,0,Equipements sportifs
SOLIDARITE-LOGEMENT BORDEAUX-BOULEVARDS,0,Locaux
SOMATO-PSYCHO-PEDAGOGIE EN AQUITAINE,0,Locaux
SONG LONG BORDEAUX,0,Equipements sportifs
SOS PLACE GAMBETTA,0,Locaux
"SOUTIEN, CULTURE ET LOISIRS DES MAGHREBINS ET ALGERIENS EN AQUITAINE - SCELMAA",0,"Locaux, matériel pour manifestations"
SPECIAL OLYMPICS FRANCE (SOF),0,Matériel pour manifestations
SPHERE CPP BORDEAUX,0,Matériel pour manifestations
STELLA MONTIS,0,Matériel pour manifestations
STOP AND GO DANCE 33,0,Equipements sportifs
SUKHALI - AIDE AU DEVELOPPEMENT LOCAL PAR LES FEMMES AU SENEGAL,0,Locaux
SURVIE GIRONDE,0,Locaux
"SYNDICAT DES QUARTIERS BELCIER, CARLE VERNET",0,Matériel pour manifestations
T.E.A. TIME - TALENTUEUX EMOTIFS ANONYMES,0,Matériel pour manifestations
TANGO BORDEAUX,0,"Locaux, matériel pour manifestations"
TANGO HOY,0,Locaux
TANGO MILONGUERO BORDEAUX,0,Locaux
TANGO NOMADE,0,"Locaux, équipements sportifs"
TASHI DELEK BORDEAUX ASSOCIATION GIRONDINE POUR LE TIBET,0,Locaux
TATHATA- VRINDHAM AQUITAINE,0,Locaux
TCHERNOBLAYE,0,Locaux
TEMPS DE PAROLE ASSOCIATION SANTE ET SECURITE PROFESSIONNELLES,0,Locaux
TENNIS CLUB DE BORDEAUX,0,"Locaux, matériel pour manifestations"
TERANGA,0,Locaux
TERANUI TAHITI,0,Locaux
TERIYA,0,Locaux
TERRA FEES,0,Matériel pour manifestations
THEATR'ACTION,0,Locaux
THEATRE DE L'ESCALE,0,"Locaux, matériel pour manifestations"
THEATRE DES TAFURS,0,Locaux
THEATRE FEMINA,0,Matériel pour manifestations
THEATRE-EDUCATION-AQUITAINE,0,Locaux
THEATRIUM,0,Locaux
THIANT GUI,0,Locaux
THOTH CIVILISATION SANS FRONTIERES,0,Locaux
TOURING PEDESTRE BORDELAIS,0,Locaux
TRACE UNE DIAGONALE,0,Locaux
TRADOBORDELEAU,0,Locaux
TRANZIT KREOL,0,Locaux
TRAUMATISES CRANIENS ASSISTANCE,0,"Locaux, matériel pour manifestations"
TREMPLIN UTC,0,Locaux
ULCR,0,Locaux
ULTRAS BB,0,Locaux
UNICEF,0,Locaux
UNION ALCOOLIQUES ANONYMES,0,Locaux
UNION AU DEVELOPPEMENT AFRICAIN - UDA,0,Locaux
UNION COOP DE LA PAGE BLANCHE,0,Equipements sportifs
UNION DEPARTEMENTALE CFDT DE LA GIRONDE,0,Matériel pour manifestations
UNION DES AVEUGLES ET DEFICIENTS VISUELS,0,Matériel pour manifestations
UNION DES TRAVAILLEURS IVOIRIENS DE FRANCE - UTIF,0,Locaux
UNION GENERALE SPORTIVE DE L'ENSEIGNEMENT LIBRE DE LA GIRONDE,0,Matériel pour manifestations
"UNION GIRONDINE DES RETRAITES MILITAIRES, ANCIENS MILITAIRES ET DE LEURS CONJOINTS (URM 33)",0,Locaux
UNION NATIONALE DES AMIS ET FAMILLES DE MALADES PSYCHIQUES - UNAFAM,0,Locaux
UNION NATIONALE DU SPORT SCOLAIRE - DIRECTION REGIONALE,0,"Equipements sportifs, matériel pour manifestations"
UNION REGIONALE PACT HABITAT ET DEVELOPPEMENT DE LA REGION AQUITAINE,0,Locaux
UNIVERSEUL,0,Matériel pour manifestations
UNIVERSITE BORDEAUX MONTAIGNE BORDEAUX III - BIBLIOTHEQUE FRANCO-ALLEMANDE (BIFA),0,Matériel pour manifestations
UNIVERSITE POPULAIRE DE BORDEAUX - UPB,0,Locaux
URPS - AQUITAINE,0,Locaux
UTOPIA,0,Locaux
"V'INSEEC BORDEAUX, VINS ET SPIRITUEUX",0,Matériel pour manifestations
VA K BAND,0,Locaux
VACANCES ANIMATION LOISIRS TOURISME DE LA GIRONDE,0,Locaux
VACANCES TOURISME FAMILLES - VTF,0,Locaux
VAHINE ORA,0,Locaux
VARIANCE MELODIE,0,Locaux
VILLA 88,0,Matériel pour manifestations
VILLAGE D'AUDEGE,0,Matériel pour manifestations
VISIONS CROISEES,0,Locaux
VISIONS PARTAGEES,0,Locaux
VISITE DES MALADES DANS LES ETABLISSEMENTS HOSPITALIERS DU DEPARTEMENT DE LA GIRONDE - VMEH,0,Locaux
VIVRE COMME AVANT,0,Locaux
VOCATION SOCIOLOGUE,0,Matériel pour manifestations
VOVINAM VIET VO DAO-CLUB DE BORDEAUX,0,Equipements sportifs
WEJOB,0,Locaux
WISE,0,Equipements sportifs
WOUXIA CLAN,0,Equipements sportifs
YA DLA JOIE ET DL'EMPLOI (YDLJE),0,Locaux
YOBALEMA,0,"Locaux, matériel pour manifestations"
YOGA ET YOGA,0,Locaux
YOGALBEDO,0,Locaux
YOGHINY,0,Equipements sportifs
ZANSHIN CLUB,0,Equipements sportifs
