datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2022-02-21;2022/86;MUSIQUE DE NUIT;34169319000033.0;Festival Haut de Garonne 2022;25000;aide en numéraire;échelonné;2022-02-21/2022-08-21;sans objet;non;1.00;2022-02-21;;Autre objet;Inférieur à 30 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2022-02-28;2022/29;TARMAQ;88352417500014.0;Subvention d'Investissement;129450;aide en numéraire;échelonné;2022-02-28/2022-08-28;sans objet;non;1.00;2022-02-28;;Autre objet;Entre 100 000€ et 500 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2022-02-28;2022/29;TARMAQ;88352417500014.0;Subvention de Fonctionnement;153480;aide en numéraire;échelonné;2022-02-28/2022-08-28;sans objet;non;1.00;2022-02-28;;Autre objet;Entre 100 000€ et 500 000€
2022-03-04;BORDEAUX METROPOLE;24330031600011.0;2022-03-01;2022/86;FESTIVAL DU FILM D'HISTOIRE;37914022100019.0;Festival Internatinal du Film d'Histoire;50000;aide en numéraire;échelonné;2022-03-01/2022-09-01;sans objet;non;1.00;2022-03-01;;Autre objet;Entre 30 000€ et 100 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-03-15;2022/85;OBJECTIF PERCHE ATLANTIQUE;49793710200018.0;Subvention de Fonctionnement;8000;aide en numéraire;échelonné;2022-03-15/2022-09-15;sans objet;non;1.00;2022-03-15;;Autre objet;Inférieur à 30 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-03-23;2022/86;FESTIVAL DES ARTS DE BORDEAUX;44336259500037.0;Festival internationnal des Arts de Bordeaux Métropole 2022;160000;aide en numéraire;échelonné;2022-03-23/2022-09-23;sans objet;non;1.00;2022-03-23;;Autre objet;Entre 100 000€ et 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-03-03;2022/86;SEMER LE DOUTE;53389682500031.0;FIFB 2022;26000;aide en numéraire;échelonné;2022-03-03/2022-09-03;sans objet;non;1.00;2022-03-03;;Autre objet;Inférieur à 30 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-13;2022/142;BORDEAUX TECHNOWEST;37781852100025.0;Subvention de fonctionnement;530000;aide en numéraire;échelonné;2022-04-13/2022-10-13;sans objet;non;1.00;2022-04-13;;Autre objet;Supérieur à 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-13;2022/142;INNO VIN;49874718700025.0;Subvention de fonctionnement;40000;aide en numéraire;échelonné;2022-04-13/2022-10-13;sans objet;non;1.00;2022-04-13;;Autre objet;Entre 30 000€ et 100 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-14;2022/142;AEROSPACE VALLEY;48428452600072.0;Subvention de fonctionnement;115000;aide en numéraire;échelonné;2022-04-14/2022-10-14;sans objet;non;1.00;2022-04-14;;Autre objet;Entre 100 000€ et 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-12;2022/190;ADEM;39811228400011.0;Subvention Décastar 2022;60000;aide en numéraire;échelonné;2022-04-12/2022-10-12;sans objet;non;1.00;2022-04-12;;Autre objet;Entre 30 000€ et 100 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-20;2022/141;INVEST IN BORDEAUX;40919981700050.0;Subvention de fonctionnement;487775;aide en numéraire;échelonné;2022-04-20/2022-10-20;sans objet;non;1.00;2022-04-20;;Autre objet;Entre 100 000€ et 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-26;2022/140;OFFICE DE TOURISME ET DES CONGRES BX METROPOLE;78180455400017.0;Subvention de fonctionnement;3213000;aide en numéraire;échelonné;2022-04-26/2022-10-26;sans objet;non;1.00;2022-04-26;;Autre objet;Supérieur à 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-26;2022/192;STIGMERGIE;88483872300010.0;Subvention de fonctionnement;28500;aide en numéraire;échelonné;2022-04-26/2022-10-26;sans objet;non;1.00;2022-04-26;;Autre objet;Inférieur à 30 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-04-19;2022/117;LES ARTS AU MUR;43434085700037.0;Subvention d'Investissement;42000;aide en numéraire;échelonné;2022-04-19/2022-10-19;sans objet;non;1.00;2022-04-19;;Autre objet;Entre 30 000€ et 100 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-05-10;2022/136;MAISON DE L'EMPLOI DE BORDEAUX;49058526200069.0;Subvention de fonctionnement;230000;aide en numéraire;échelonné;2022-05-10/2022-11-10;sans objet;non;1.00;2022-05-10;;Autre objet;Entre 100 000€ et 500 000€
2022-06-01;BORDEAUX METROPOLE;24330031600011.0;2022-05-20;2022/142;ODEYS;84519241800018.0;Subvention de fonctionnement;40000;aide en numéraire;échelonné;2022-05-20/2022-11-20;sans objet;non;1.00;2022-05-20;;Autre objet;Entre 30 000€ et 100 000€
