ASSOCIATION CULTURELLE ARMENIENNE DE BORDEAUX AQUITAINE,"0,00",Matériel pour manifestations
ASSOCIATION CULTURELLE DES ALEVIS DE GIRONDE,"0,00",Locaux
ASSOCIATION CULTURELLE DES ELEVES DU LYCEE MONTESQUIEU -,"0,00",Locaux
ACELM,,
ASSOCIATION CULTURELLE DES KABYLES DE BORDEAUX (ACKB),"0,00","Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE DU MARCHE DES CHARTRONS,"8 800,00","Matériel pour manifestations, locaux"
ASSOCIATION CULTURELLE ET TRADITIONNELLE DE GIRONDE - ACT,"2 700,00","Matériel pour manifestations, locaux"
33,,
ASSOCIATION D'AMITIE FRANCO-VIETNAMIENNE (AAFV),"0,00",Locaux
"ASSOCIATION DANSE, ANIMATION DE LA GIRONDE - ADAGE","0,00",Matériel pour manifestations
ASSOCIATION DAVID ET JONATHAN,"0,00",Locaux
ASSOCIATION DE CARDIOLOGIE D'AQUITAINE,"0,00",Matériel pour manifestations
ASSOCIATION DE DEFENSE DES INTERETS DU QUARTIER DE,"300,00",Locaux
BACALAN - ADIQ,,
ASSOCIATION DE DEFENSE DES MUSIQUES ALTERNATIVES EN,"35 374,00","Communication, matériel pour manifestations"
AQUITAINE - ADMAA (ALLEZ LES FILLES),,
ASSOCIATION DE DEFENSE DES RESIDENTS DE LA GALERIE,"0,00",Locaux
"(ADREGA)",,
ASSOCIATION DE DEVELOPPEMENT NATUREL (ADN),"0,00",Locaux
ASSOCIATION DE FAMILLES DE TRAUMATISES CRANIENS AVENIR -,"0,00","Matériel pour manifestations, locaux"
AFTC AVENIR,,
ASSOCIATION DE GESTION ET D'ANIMATION DES CRECHES C.S.F.,"522 000,00",
"(AGEAC/CSF)",,
ASSOCIATION DE L'ECOLE COREENNE DE BORDEAUX - AECB,"0,00",Locaux
ASSOCIATION DE L'ENSEIGNEMENT CATHOLIQUE DE GIRONDE,"0,00",Locaux
ASSOCIATION DE LA FONDATION ETUDIANTE POUR LA VILLE - AFEV,"0,00",Locaux
ASSOCIATION DE LA RUE NOTRE DAME DES CHARTRONS,"1 000,00","Matériel pour manifestations, locaux"
ASSOCIATION DE PREFIGURATION D'UNE PLATEFORME,"0,00","Matériel pour manifestations, locaux"
D'AQUITAINE POUR LE COMMERCE EQUITABLE (LA PLACE),,
ASSOCIATION DE RECHERCHE CLINIQUE SUR L'ADOLESCENCE,"0,00",Locaux
"-ARCAD-",,
ASSOCIATION DE RIVERAINS BAST-ID,"0,00","Matériel pour manifestations, locaux"
ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES -,"5 000,00",Locaux
BORDEAUX (ASTI BORDEAUX),,
ASSOCIATION DE SOPHROLOGIE EXISTENTIELLE DE BORDEAUX,"0,00",Locaux
"(ASEB)",,
ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),"4 000,00","Matériel pour manifestations, locaux"
"ASSOCIATION DE SPORTS, DE CULTURE ET D'ENTRAIDE DE LA","0,00",Equipements sportifs
GIRONDE,,
ASSOCIATION DECOUVERTE VACANCES EQUILIBRE,"0,00",Locaux
ASSOCIATION DEPARTEMENTALE APAJH DE LA GIRONDE,"0,00",Locaux
ASSOCIATION DEPARTEMENTALE DE L'OFFICE CENTRAL DE LA,"400,00",Locaux
COOPERATION A L'ECOLE DE LA GIRONDE - AD-OCCE,,
ASSOCIATION DEPARTEMENTALE DES ANCIENS COMBATTANTS ET,"0,00",Locaux
AMIS DE L'INDOCHINE,,
ASSOCIATION DEPARTEMENTALE DES PARENTS D'ELEVES DE,"0,00",Locaux
L'ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEEP AD 33,,
ASSOCIATION DEPARTEMENTALE DES PUPILLES DE,"0,00",Locaux
L’ENSEIGNEMENT PUBLIC DE LA GIRONDE - PEP 33,,
ASSOCIATION DEPARTEMENTALE POUR INFORMATION AU,"3 030,00",
LOGEMENT 33 - ADIL33,,
ASSOCIATION DES AMIS D'ELIANE LAVAIL,"0,00",Locaux
ASSOCIATION DES BROCANTEURS DES CHARTRONS - ABC,"6 782,00",Matériel pour manifestations
ASSOCIATION DES CENTRES D'ANIMATION DE QUARTIERS DE,"8 035 091,00","Communication, matériel pour manifestations,"
BORDEAUX - ACAQB,,"équipements sportifs, locaux"
ASSOCIATION DES CITES DU SECOURS CATHOLIQUE - DELEGATION,"0,00",Locaux
BORDEAUX,,
"ASSOCIATION DES COMMERCANTS ""BARRIERE DE PESSAC""","4 400,00",
BORDEAUX-TALENCE,,
ASSOCIATION DES COMMERCANTS DE CAUDERAN SAINT-AMAND,"10 100,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,"4 880,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,"3 750,00",
ASSOCIATION DES COMMERCANTS DE LA RUE JJ ROUSSEAU,"0,00",
ASSOCIATION DES COMMERCANTS DE LA RUE SAINT-SERNIN,"450,00",
ASSOCIATION DES COMMERCANTS DE SAINT-AUGUSTIN,"7 601,00","Matériel pour manifestations, locaux"
ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL,"4 400,00",
MERIADECK,,
ASSOCIATION DES COMMERCANTS DU GRAND PARC,"9 000,00",Matériel pour manifestations
ASSOCIATION DES COMMERCANTS ET ARTISANS DU QUARTIER,"4 500,00",Matériel pour manifestations
SAINT MICHEL,,
ASSOCIATION DES COMMERCANTS ET ARTISANS LES BERGES DU,"4 000,00",Matériel pour manifestations
LAC,,
ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER,"11 000,00",Matériel pour manifestations
VICTOIRE,,
ASSOCIATION DES COMMERCANTS ORNANO - GAVINIES - ST,"3 500,00",Matériel pour manifestations
VICTOR,,
ASSOCIATION DES COMMERCANTS RUE VOLTAIRE,"2 670,00",
ASSOCIATION DES COREENS DE BORDEAUX (ACB),"0,00","Matériel pour manifestations, locaux"
ASSOCIATION DES DAMES DU CALVAIRE DE BORDEAUX - MAISON,"0,00",Matériel pour manifestations
DE SANTE MARIE GALENE,,
ASSOCIATION DES DOCKERS ET DES TRAVAILLEURS PORTUAIRES,"0,00",Locaux
VICTIMES DE L'AMIANTE DU PORT DE BORDEAUX,,
ASSOCIATION DES DONNEURS DE VOIX,"1 000,00",Locaux
ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE -,"2 500,00",
REGION AQUITAINE,,
ASSOCIATION DES ELEVES-AVOCATS ALIENOR 2017 (ADEAA 2017),"0,00",Locaux
ASSOCIATION DES ETUDIANTS ET RESSORTISSANTS,"0,00",Locaux
MAURITANIENS DE GIRONDE (AERMG),,
ASSOCIATION DES ETUDIANTS REUNIONNAIS A BORDEAUX - AERB,"0,00",Locaux
