web-scraper-start-url,nom,description,adresse,code postal,telephone,president,site web,categorie
https://assos.bordeaux.fr/association/detail/1397,LES CLOWNS STÉTHOSCOPES,"Les Clowns Stéthoscopes est une association loi 1901 à but non lucratif, reconnue d’intérêt général. Elle est membre de la FFACH (Fédération Française des Associations de Clowns Hospitaliers). Elle intervient à l'hôpital des enfants et dans des Ehpad de la Région Nouvelle Aquitaine",Ehpad Bon Secours -  rue Sainte Marie                                                                                                ,33130,06 10 15 20 04,null,www.lesclownsstethoscopes.fr,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/832,FRANCE BÉNÉVOLAT BORDEAUX GIRONDE - FBBG,"Promotion du bénévolat.
Intermédiation active entre bénévoles et associations.
Aide aux associations pour une meilleure gestion des ressources humaines bénévoles.",120 rue Héron                                                                                                ,33000,05 56 92 37 69,null,www.bordeaux.francebenevolat.org,"Entraide, solidarité, humanitaire"
https://assos.bordeaux.fr/association/detail/1270,FÉDÉRATION DES MAISONS DES LYCÉEN.NE.S - NOUVELLE-AQUITAINE - FMDL-NA,"La Fédération des MDL – Nouvelle-Aquitaine, se veut une réponse aux différentes problématiques rencontrées par les MDL au sein des établissements. Elle fédère les MDL sur tout le territoire, les accompagne, les aide à se développer, soutien et propose des projets à divers échelles.",10 rue des Treuils                                 lycée François Magendie                                                                                                             ,33000,06 99 70 14 36,null,null,Education - Enfance - Jeunesse - Vie étudiante
https://assos.bordeaux.fr/association/detail/1078,LES ORCHIDÉES ROUGES,Œuvrer pour les droits des femmes ; sensibiliser les populations sur les méfaits de l'excision ; favoriser l'accès à la chirurgie réparatrice du clitoris et apporter un suivi psychologique ; aider les femmes victimes de violences à se reconstruire psychologiquement et physiquement ; alerter les familles Françaises sur les risque encourus par leurs fillettes lors des vacances scolaires dans les pays d'origine.,1 square Gustave Courbet                                 Bat. A                                                                                                             ,33700,06 52 95 83 03,Kakpotia Marie-Claire Moraldo,null,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/1351,LETTRES ET IMAGES,"Cours et stages de calligraphie, d'enluminure, d'encadrement.
Stages d'arts plastiques. Expositions annuelles.",5 rue de Mandavit                                                                                                ,33170,06 17 93 58 08,null,lettresetimages.net,Culture
https://assos.bordeaux.fr/association/detail/1823,URBAN RUNNERS,"Urban Runners a trois objectifs principaux :
promouvoir notamment la course à pied comme facteur de santé,
mettre en relation les personnes et créer du lien social,
développer au niveau national l’organisation de sorties pédestres loisirs.",57 rue Paul courteault                                                                                                ,33000,06 61 66 18 10,null,null,Sport
https://assos.bordeaux.fr/association/detail/1033,FANFARE BEAT CHEESE - LE BEAT CHEESE,"L’association a pour buts la promotion et le développement de la culture des fanfares, notamment par l’organisation de manifestations musicales.","17, rue Maxime Lalanne                                                                                                ",33800,06 01 88 20 21,null,fanfarelebeatcheese.fr,Culture
https://assos.bordeaux.fr/association/detail/917,LE NOM LIEU,"Le Nom Lieu a pour objet l'accueil et l'accompagnement d'enfants et de jeunes adultes en souffrance psychique et/ou en situation d'exclusion sociale, afin de faciliter, à eux et à leur famille, une insertion dans la vie sociale et professionnelle. La structure propose des temps d'accueil et des ateliers ainsi que des actions de sensibilisation afin de lutter contre les inégalités et les discriminations.",38 rue Tillet                                                                                                ,33800,06 25 04 92 96,null,lenomlieu.wordpress.com/accueil,"Emploi, insertion professionnelle, formation"
https://assos.bordeaux.fr/association/detail/1372,SAVEURS QUOTIDIENNES,"Sensibiliser un large public à l'alimentation locale via une exposition photo et des temps de médiations tel que: ateliers cuisine, marché de producteurs, ateliers de sensibilisation enfant/adulte et groupement d'achat, afin de permettre à tous l'accès à une alimentation locale, durable et de qualité et soutenir l'activité des producteurs.",1 place Saint-Christoly                                                                                                ,33000,06 33 64 62 37,null,null,"Santé, bien-être"
https://assos.bordeaux.fr/association/detail/942,CHEMINS DE VIES - CHEMINS DE VIES,"Le but de notre association est de rassembler des praticiens qui se consacrent au mieux être de l'individu par diverses méthodes hors pratiques conventionnelles.
Chaque membre est déclaré et reconnu comme professionnel.
L'objectif final est de faire profiter à tout un chacun de ce réseau.",114 Avenue Thiers                                                                                                ,33100,06 75 90 91 85,null,cheminsdevies.fr,"Santé, bien-être"
