Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,COMPAGNIE PAUL LES OISEAUX,17500,
2016,COMPAGNIE THEATRALE L'OEIL,17000,
2016,N'A QU'UN OEIL,17000,
2016,YAKAFAUCON,17000,"Locaux, matériel pour manifestations"
2016,SOCIETE ARCHEOLOGIQUE DE BORDEAUX,16770,Locaux
2016,LYCEE PROFESSIONNEL JEHAN DUPERIER,16628.76,
2016,COMPAGNONS BATISSEURS AQUITAINE,16000,
2016,FEDERATION DES SOCIETES CARNAVALESQUES DE L'AGGLOMERATION BORDELAISE,16000,Matériel pour manifestations
2016,GROUPE ANAMORPHOSE,16000,
2016,L'ATELIER REMUMENAGE,16000,Locaux
2016,LYCEE VITICOLE-CFPPA CHATEAU DILLON (EPLEFPA),15920.46,
2016,CLUB DES ENTREPRISES DE BORDEAUX,15800,Matériel pour manifestations
2016,ASSOCIATION DE SOUTIEN AUX INVENTIONS LIBRES (ASIL),15500,"Communication, locaux, matériel pour manifestations"
2016,FAMILLES EN GIRONDE - FEDERATION DE LA GIRONDE,15500,Locaux
2016,ASSOCIATION ALCHIMIST,15280,
2016,AMOS,15000,
2016,BRUIT DU FRIGO,15000,Matériel pour manifestations
2016,CARTOONING FOR PEACE,15000,
2016,CONSEIL DEPARTEMENTAL DES ASSOCIATIONS FAMILIALES LAIQUES DE LA GIRONDE - CDAFAL 33,15000,Locaux
2016,ENTREPRISE INTERMEDIAIRE DE PRODUCTION ET DE FORMATION - EIPF,15000,Locaux
2016,FONDS REGIONAL D'ART CONTEMPORAIN - COLLECTION AQUITAINE,15000,Communication
2016,LA FABRIQUE POLA,15000,"Locaux, matériel pour manifestations"
2016,UNION DEPARTEMENTALE DES CADRES DE LA GIRONDE,15000,
2016,CENTRE SOCIAL BAGATELLE DISPENSAIRE DE BAGATELLE,14800,
2016,ENTR-AUTRES,14800,
2016,MAISON DES ADOLESCENTS DE LA GIRONDE,14653.49,"Locaux, matériel pour manifestations"
2016,BORDEAUX ROCK,14500,"Communication, matériel pour manifestations, locaux"
2016,EINSTEIN ON THE BEACH,14000,Locaux
2016,ITINERAIRES DES PHOTOGRAPHES VOYAGEURS,14000,"Communication, locaux"
2016,LE 308,14000,
2016,LES LEOPARDS DE GUYENNE,14000,Equipements sportifs
2016,OPERA PAGAI,14000,
2016,BORDEAUX ATHLETIC CLUB ,13600,"Locaux, équipements sportifs, matériel pour"
2016,ENVOL D'AQUITAINE,13050,"Locaux, équipements sportifs, matériel pour"
2016,LA COMA,13000,
2016,YAWATA ASSOCIATION DES ECHANGES DE PROCEDES ARTISTIQUES,13000,Matériel pour manifestations
2016,INSTITUT D'ETUDES POLITIQUES SCIENCES PO,13000,
2016,AQUITEC,12000,Matériel pour manifestations
2016,INFODROITS,12000,
2016,MAISON DE L'INITIATIVE ET DE L'ENTREPRENEURIAT - MIE,12000,Matériel pour manifestations
2016,TRAVAUX PUBLICS COMPAGNIE,12000,
2016,LE 4 DE BORDEAUX,11950,"Locaux, matériel pour manifestations"
2016,CENTRE CULTUREL ET D'ANIMATION DES JEUNES - YAVNE,11620,
2016,BOXING CLUB BORDELAIS,11500,Equipements sportifs
2016,CENTRE DE PREVENTION ET DE LOISIRS DES JEUNES DE BORDEAUX - CPLJ BORDEAUX,11500,Locaux
2016,LETTRES DU MONDE,11500,"Communication, locaux"
2016,COMPAGNIE PRESENCE MICHEL CAHUZAC,11380,Locaux
2016,COULEURS GARONNE,11176,
2016,AMIS DE L'ORCHESTRE D'HARMONIE DE BORDEAUX,11011,
2016,AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),11000,"Locaux, équipements sportifs"
2016,ASSOCIATION DES COMMERCANTS ET RIVERAINS DU QUARTIER VICTOIRE,11000,Matériel pour manifestations
2016,COLLECTIF OS'O,11000,
2016,CONTRÔLE Z AQUITAINE,10730,
2016,CHAMBRE DES METIERS DE LA GIRONDE,10536.77,
2016,JEUNES SCIENCE BORDEAUX,10083,"Locaux, matériel pour manifestations"
2016,"ACIDD, ASSOCIATION COMMUNICATION ET INFORMATION POUR LE DEVELOPPEMENT DURABLE",10000,Locaux
2016,ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE PIERRE,10000,"Communication, locaux"
2016,CENTRE D'ACTION ET DE PREVENTION CONTRE LA RADICALISATION LIEE A L'ISLAMISME (CAPRI),10000,Locaux
2016,CENTRE RENCONTRES ACTION CULTURELLE BEGLES-CREAC,10000,
2016,DISPARATE,10000,Locaux
2016,IUFN,10000,
2016,L'OUMIGMAG,10000,"Locaux, matériel pour manifestations"
2016,MOUVEMENT ATD QUART MONDE,10000,"Locaux, matériel pour manifestations"
