ASSOCIATION EDUCATIVE D'INSERTION SOCIALE (AEIS),"0,00",Locaux
ASSOCIATION EKOLO[GEEK],"800,00",
ASSOCIATION EMMAUS AQUITAINE BORDEAUX FONDATEUR ABBE,"10 000,00","Communication, locaux"
PIERRE,,
ASSOCIATION EMMAUS GIRONDE,"0,00",Matériel pour manifestations
ASSOCIATION ESPACE 33,"2 000,00",
ASSOCIATION ETUDIANTE CULTURELLE BOIS DE ROSE,"0,00",Locaux
ASSOCIATION FAMILIALE CATHOLIQUE BORDEAUX SAINTE-EULALIE,"0,00",Matériel pour manifestations
VICTOIRE,,
ASSOCIATION FAMILIALE LAIQUE DE BORDEAUX NORD - AFL,"27 500,00","Locaux, matériel pour manifestations"
ASSOCIATION FORMATION ET EDUCATION PERMANENTE DE TIVOLI -,"0,00",Locaux
AFEPT,,
ASSOCIATION FRANCAISE DE PERSONNES SOUFFRANT DE,"0,00",Locaux
TROUBLES OBSESSIONNELS COMPULSIFS AFTOC,,
ASSOCIATION FRANCAISE DES FUNDRAISERS - GROUPE AQUITAINE,"0,00",Locaux
ASSOCIATION FRANCO-BRESILIENNE POUR LA RECHERCHE DE,"0,00",Equipements sportifs
L'EQUILIBRE - AFBRE,,
ASSOCIATION FRANCO-KURDE,"0,00",Equipements sportifs
ASSOCIATION France - UKRAINE,"0,00",Locaux
ASSOCIATION GENERALE DES LOCATAIRES,"0,00",Locaux
ASSOCIATION GENERALE INTERVENANTS RETRAITES POUR,"0,00",Locaux
ACTIONS BENEVOLES DE COOPERATION ET DEVELOPPEMENT,,
ASSOCIATION GENERATION DUPATY,"5 000,00",Equipements sportifs
ASSOCIATION GIRONDINE D'EDUCATION SPECIALISEE ET DE,"45 400,00",Locaux
PREVENTION SOCIALE - AGEP,,
ASSOCIATION GIRONDINE DES ACTIVITES PROTEGEES - SPORT -,"0,00",Equipements sportifs
LOISIRS (AGAP - SPORT - LOISIRS),,
ASSOCIATION GOLF D'ENTREPRISES INTER-ENTREPRISES GOLF DE,"0,00",Locaux
BORDEAUX - IEGB,,
ASSOCIATION HABILITEE DES JEUNES SAPEURS POMPIERS DE LA,"2 500,00",
BENAUGE,,
"ASSOCIATION INTERNATIONALE POUR LA CULTURE, LE","0,00",Locaux
DEVELOPPEMENT ET LA PAIX (AICDP),,
ASSOCIATION INTERPROFESSIONNELLE BIO REGIONALE,"0,00",Matériel pour manifestations
"(AQUITAINE/LIMOUSIN/POITOU-CHARENTES OU EQUIVALENT)",,
ASSOCIATION JEUNESSE FUTSAL (A.J.F.),"0,00",Equipements sportifs
ASSOCIATION JUDAIQUE ST SEURIN,"5 900,00",
ASSOCIATION L'ALTERNATIVE-KOUABO,"3 000,00",
ASSOCIATION LA COCCINELLE,"180 000,00",
ASSOCIATION LAIQUE LE PRADO,"55 000,00",
ASSOCIATION LE MERLE MOQUEUR,"0,00","Locaux, matériel pour manifestations"
ASSOCIATION LE VILLAGE BORDEAUX SUD,"800,00",Matériel pour manifestations
ASSOCIATION LEA - UNIVERSITE BORDEAUX MONTAIGNE,"0,00",Locaux
ASSOCIATION LES CREANTS,"4 000,00",Locaux
ASSOCIATION MALADIE CHRONIQUE SPORT BIEN ETRE,"0,00",Locaux
ASSOCIATION MALINE,"0,00",Locaux
ASSOCIATION MARIE DE LUZE,"0,00",Locaux
ASSOCIATION MUSICALARUE,"0,00",Matériel pour manifestations
ASSOCIATION NATIONALE DES AMIS DE JEAN MOULIN,"2 000,00",Locaux
ASSOCIATION NATIONALE DES ANCIENS ET AMIS DE L'INDOCHINE,"0,00",Locaux
ET DU SOUVENIR INDOCHINOIS,,
ASSOCIATION NATIONALE DES JEUNES ENTREPRENEURS D,"3 000,00",
AQUITAINE,,
ASSOCIATION NATIONALE DES RETRAITES DE LA POSTE ET DE,"0,00",Locaux
France TELECOM,,
ASSOCIATION NATIONALE DES RETRAITES HOSPITALIERS,"0,00",Locaux
ASSOCIATION NATIONALE DES VISITEURS DE PRISON - ANVP,"300,00",Locaux
ASSOCIATION NATIONALE LE REFUGE,"3 000,00",Locaux
ASSOCIATION NATIONALE MEMBRES DE L'ORDRE NATIONAL DU,"250,00",Locaux
MERITE - SECTION DEPARTEMENTALE DE LA GIRONDE,,
ASSOCIATION NATIONALE POUR LES ENFANTS,"0,00",Locaux
INTELLECTUELLEMENT PRECOCES DE L'AQUITAINE - ANPEIP,,
ASSOCIATION OXYGENE,"5 000,00","Locaux, matériel pour manifestations"
ASSOCIATION PALLIA PLUS,"2 500,00",Locaux
ASSOCIATION PAROLE BEGAIEMENT - APB - DELEGATION,"0,00",Locaux
DEPARTEMENTALE,,
ASSOCIATION PETITE ENFANCE ENFANCE ET FAMILLE - APEEF,"1 578 403,00","Locaux, matériel pour manifestations"
ASSOCIATION PETITS BOUCHONS,"311 500,00",
ASSOCIATION PETRONILLE,"3 000,00",
ASSOCIATION PITCHOUN,"1 735 000,00",Locaux
ASSOCIATION POUR L'ANIMATION ET LES LOISIRS DES PERSONNES,"1 500,00","Equipements sportifs, matériel pour manifestations"
AGEES - APALPA,,
ASSOCIATION POUR L'ENTRAIDE CONTRE LA RECHUTE DE,"0,00",Locaux
DEPRESSION - AERD,,
ASSOCIATION POUR L'ENVIRONNEMENT ET LA SECURITE EN,"0,00",Locaux
AQUITAINE - APESA,,
ASSOCIATION POUR L'ETUDE ET LA PREVENTION DU SUICIDE EN,"2 500,00",
AQUITAINE,,
